𦆁|𦝠 糸
𢶇|扌 𤇾 卂
𩚀|人 一 白 厶
鼐|乃 鼎
𩉡|革 人 丿 丨
尒|人 小
碕|石 大 一 亅 口
𦞯|⺼ 老 日
䖗|虍 丿 戈 一 口
𦿘|艹 人 人 且 皿
𠊙|亻 宀 且
𥡶|禾 山 宀 示
𠐮|亻 Z學X 子
𧦑|言 亠 几
琢|王 豖
邥|冘 阝
𣄤|方 魚 日
嶧|山 罒 土 丷 干
𡪩|宀 土 土 土 一 儿
𨁝|𧾷 孛
𥾆|糹 𠃏
谲|讠 矛 冂 八 口
䤴|金 函
疷|疒 氏 一
𡘶|屮 大 大 十
𣊹|日 立 里
𧩤|言 面
𪑂|黑 乂 木
慄|忄 襾 木
跇|𧾷 世
𧯠|一 口 䒑 勹 口
䫉|豸 頁
𥨇|穴 貝 攵
𣣢|亻 言 欠
祔|礻 亻 寸
𪗗|齒 几
䙖|衤 山 月 月
拙|扌 屮 凵
𢿛|匸 口 口 口 攵
𤎎|火 麻
𩘺|風 中 一 貝
酤|酉 十 口
幦|尸 口 辛 巾
竩|立 宀 且
𡭨|目 小
䟫|⺌ 冂 口 人 卜
𠓭|入 木 木
𥬼|𥫗 勿 刂
𧾿|𧾷 了
𧙶|宀 于 衣
鋹|金 長
𦤕|自 犬 夬
忻|忄 斤
𡳽|𥫗 馬 尸 至
𢘁|𠕁 心
𥐗|石 㔾
躆|𧾷 虍 豕
䮈|馬 夕 夕
𣮋|禾 𠚣 毛
𧞖|衤 立 山 而
焏|口 了 又 灬
㸑|Z爨X 木 木 火
𩌙|革 十 Z具X 八
𠵔|口 䒑 业
𪚖|片 龍
掘|扌 尸 屮 凵
𢂚|亠 日 巾
褟|衤 冂 二 羽
𦝄|⺼ 土 八 夊
嘡|口 ⺌ 冂 口 土
𦉱|罒 七
𨯇|金 麻 牛
𣩮|歹 人 一 囗 小 曰
𤏰|火 㡀 攵
箨|𥫗 扌 又 V扌
㢪|弓 一 丂
𠖬|冫 乚
𪄯|夫 目 儿 鳥
𣲜|井 水
渱|氵 虫 工
𢬳|扌 禾 儿
𥠟|白 王 禾
鎸|金 隹 乃
傺|亻 Z祭X 示
𡶼|山 西
虁|艹 夔
𨜡|匕 匕 白 阝
䍃|V⺼ 缶
𠁅|V虍 勹 Q匆X
𨌾|牜 牛 車
𥫎|立 里 厶 貝
𪚠|龍 工 人 人
棊|其 木
㗌|口 宀 至
𧍌|虫 氵 刀 口
鹑|Z亯X 子 鸟
𧹹|赤 音 戈
𥭓|𥫗 火 勹 丶
𡡕|厂 䒑 屮 欠 女
𩟏|飠 戈 戈 皿
𥿸|糹 夂 巾
胚|⺼ 不 一
𤷜|疒 人 一 乛 二 厶
𠫞|厶 厶 几
𥣑|禾 艹 重
獣|ッ 田 一 口 犬
𣁥|文 臣 人 丶 皿
𤰧|夕 田
飪|飠 一 士
𦔐|耒 口 貝
旬|勹 日
𨬩|金 𤣩 王 人 一 乛
譳|言 雨 而
䡵|車 辶 㒸
𤇂|火 又 土
𩛾|飠 隶
緼|糹 日 皿
㫾|日 ⺌ 冂 口
𠠀|𥫗 戈 戈 刂
𢲃|扌 扌 斤 口
䄆|礻 舌
斉|文 丿 𠄠 丨
𣔭|木 土 八 土
𤁖|氵 衤 果
騌|馬 宀 示
𡀐|口 木 矛 木
㒓|亻 辶 土 羊
𧀯|艹 宀 釆 田
椖|木 戶 方
趙|走 ⺌ ⺼
𤮅|土 八 土 丸 瓦
𧵖|貝 未
𠎝|亻 夫 夫 心
𪈜|糹 婁 鳥
𦭐|艹 斥
㠠|山 虍 田 皿
岣|山 勹 口
焦|隹 灬
閩|門 虫
𢮭|扌 Z具X 八
𨭜|金 曰 罒 一 ZX方
䀰|目 谷
撳|扌 金 欠
𩶲|二 欠 魚
餶|飠 骨
𣤵|貝 貝 女 欠
𤱞|田 夂 ⺀
𩲋|亠 几 鬼
𩛁|𠂎 卩 食
桀|舛 木
賃|亻 一 士 貝
𦌊|罒 束 欠
𠋇|亻 米 阝
𪅆|亠 凵 乂 禸 鳥
𥾍|糹 干
𢝊|頁 心
寍|宀 心 皿
灐|氵 𤇾 金
铓|钅 艹 亠 𠃊
𢫗|手 白
𤊸|丿 戈 一 口 火
佚|亻 丿 夫
揝|扌 夊 卜 日
𩝤|飠 土 土 心
顠|襾 示 頁
𨆺|𧾷 氵 襾 示
𡹤|山 囗 禾
坪|土 平
语|讠 五 口
𩂓|雨 夂 ⺀
𠇱|亻 末
𧳩|豸 彑 𧰨
𢙴|旡 心 夊
嫷|女 阝 HX隋
𥎕|矛 冂 八 口 戈 人
罺|罒 巛 果
鏽|金 肅
𤇫|禾 火
𢼅|又 又 攵
亄|士 冖 一 口 䒑 乚
𧛀|木 木 衣
砋|石 止
螊|虫 兼
𡶎|山 未
㜕|女 辶 車
嚔|口 十 冖 田 厶 人 卜
𨠘|酉 白
耛|耒 厶 口
𦑮|羽 戶 𠕁
𧐼|虫 扌 卜 日 十
𠘟|冫 厂 禾 禾 止
𢖞|彳 𠂊 口 匕 匕 免 丶
𨣱|酉 艹 罒 戈 人
𤬚|瓜 广 兼
弥|弓 𠂉 小
纤|纟 丿 十
䶮|龙 一 大
𥭉|𥫗 人 二 厶
朵|几 木
蚴|虫 幺 力
𡲸|尸 毛 米
𠼐|口 禾 刂 牛
𥔸|石 共 㣺
㘿|土 日 土
喾|V兴 𠂒 口
𣶡|氵 囗 歺
轅|車 土 口 𧘇
𩰠|凵 𠂭 匕 疋
𠕉|丶 冂 八
𢓈|彳 勹 二
𣊳|日 重 灬
幏|巾 宀 豕
緎|糹 戈 口 一
𥗥|石 𥫗 罒 戈 人
𤽿|白 人 一 乛 心
𧶷|一 止 Z青X 貝
靕|一 止 青
䳘|鳥 我
晟|日 丿 戈 𠃌
藞|艹 石 石 石
𤽑|白 支
𡯢|尢 舌
𥚎|礻 宀 示
𧚧|衤 𠂊 臼
㕩|口 丰
哨|口 ⺌ ⺼
