𦆁|𦝠 糸
𨩓|土 土 土 金
蹯|𧾷 釆 田
𩀨|隹 彳 HX從
嵹|山 弓 厶 虫
𧳸|豸 骨
𧱾|豕 豕 犬
𩖦|風 人 一 乛
陿|阝 匚 大 人 人
𩲺|鬼 乂 木
𥌪|目 夫 目 目
𤆀|氵 馬 馬 馬
蔈|艹 襾 示
䘊|虫 𥫗 罒 戈 人
窍|穴 工 丂
𡬌|V㝱 目
㾏|疒 土 土
𧍙|艹 氵 㔾 虫
𪘅|虫 齒
渚|氵 耂 日
芝|艹 之
𢌜|廴 手
䞟|走 白
𥇚|目 大 一 亅 口
𦬇|艹 廾
𦚕|⺼ 甘
瘪|疒 自 人 匕
䬬|飠 央
澯|氵 歺 又 米
𩳜|鬼 酉
𢂱|巾 口 ⺼
𥼺|米 自 辛
𤶈|疒 西
𨎵|車 口 耳 戈
鸺|亻 木 鸟
匼|匸 人 一 口
瞿|目 目 隹
𡐾|土 扌 日 V正
䣁|羽 阝
𦝡|⺼ 人 一 口 廾
𠷃|口 宀 火 又
𥺷|米 尸 屮 凵
𦎟|𦍌 灬 火
𣴶|氵 土 人 人
筌|𥫗 入 王
𩿏|又 又 鳥
僑|亻 丿 大 口 冂 口
𡗓|大 一
𤗢|片 𠂆 虍 儿
𩤇|馬 人 一 𠕁
𩒎|厶 口 頁
荜|艹 匕 匕 十
䑞|匚 火 火 舛
磡|石 甘 匸 八 力
𡥠|子 丿 皿
𣐮|囗 人 木
𩞽|飠 癶 𠘧 又 弓
汮|氵 勹 二
胱|⺼ 光
𦭩|艹 屮 一
𤗳|片 癶 𠘧 又 弓
𠛵|艮 刂
𥙫|礻 酉
瑾|王 堇
䦀|钅 羽
𠪂|厂 戶 𠕁
𨌗|屮 凵 冖 車
指|扌 匕 日
𩕭|艹 土 厶 皿 頁
鲎|V兴 鱼
冐|冂 二 月
𨽂|阝 亻 业 䒑 夫
謗|言 亠 丷 冖
𥴘|𥫗 女 甘 木
䰙|鬲 支
𤩄|王 巳 巳 共
禠|礻 𠂆 虍 儿
㪢|𦥑 丨 又 攴
錧|金 宀 㠯
𣻰|氵 忄 隹
吩|口 八 刀
𢤫|忄 V𢍱 与 V扌
𥩳|立 士 寸
膰|⺼ 釆 田
䊲|襾 米 文 厂 生
𠞴|倉 丶 刀
簹|𥫗 ⺌ 冂 口 田
𣄻|日 乙
𣳋|氵 V𣥄
櫂|木 羽 隹
𧆠|虍 手
葉|艹 世 木
奋|大 田
𥹌|力 口 米
狒|犭 弗
㟔|山 人 一 乛 口
𠣖|勹 玄
慛|忄 山 隹
𢉝|广 田 ZX畏
𩗖|風 丶 艮
𥸲|米 弓
髢|镸 彡 也
忤|忄 𠂉 十
𡃦|口 門 隹
𨵽|門 民 日
襫|衤 大 一 白 一 白
䩭|革 大 一 亅 口
𠽯|口 土 日 V正
𥰩|𥫗 臼 廾
𪋲|鹿 火 火 舛
柴|止 匕 木
㣶|彳 亠 囗 口 日 一
酻|酉 爫 子
剽|襾 示 刂
𥉔|耳 火 目
殁|歹 𠘧 又
𣺪|水 口 貝
谄|讠 𠂊 臼
𪂇|日 曰 鳥
𠘈|冫 尸 子 子 子
㪋|日 干 攴
弎|弋 三
玑|王 几
𤧙|王 臾
鐔|金 襾 日 十
𨳎|門 二
𢸘|扌 宀 大 丷 日 小
䊛|米 乂 木 𠘧 又
𤰥|田 寸
朞|其 月
鮡|魚 兆
𦠱|⺼ 𥫗 亻 戈
𡶥|山 力 口
𧶇|貝 扌 斤
𨦰|金 丣
㘨|土 內
檫|木 宀 Z祭X 示
𩸆|魚 大 电
𦪗|舟 黃
輮|車 矛 木
𪎱|麻 雨 而
𠄲|五 ZX竜
𢖵|忄 女
𨋟|禾 車
𦯠|艹 V𠯑 乚
常|⺌ 冂 口 巾
犻|犭 巿
𨃨|展 足
霾|雨 豸 里
𢥂|忄 V𢍏 馬
𤷅|疒 臼 儿
𣱠|气 立
晈|日 亠 父
髋|骨 宀 卄 见
𤔌|爫 工 彐
𧐹|虫 禾 夕 夕
𣅒|日 乇
嗕|口 辰 寸
𧞪|衤 巤
𩖸|風 口 丂
蹘|𧾷 羽 人 彡
𪋛|鹿 艹 日 十
𨈎|𧾷 糹 糸 言 鳥
𠁜|䒑 业 マ 用 力
𢓟|彳 州
奢|大 耂 日
緥|糹 亻 口 木
𩛧|飠 日 干
𥾄|𠧪 𠧪 𠧪 米
陨|阝 口 贝
𧕦|單 虫 虫
𢡬|止 止 止 心
䳯|重 鳥
慲|忄 㒼
藵|艹 亻 口 木 衣
𣁼|㫄 斗
哿|力 口 一 亅 口
𤤔|𤣩 立
𨁁|𧾷 HX旋
渃|氵 艹 𠂇 口
覂|襾 丿 之
𤳆|田 力 未 丷
𠎆|亻 癶 𠘧 又 弓
㤍|工 丂 心
墌|土 广 V炗
𨹬|阝 口 丿 口
瘓|疒 Z奐X 大
醒|酉 日 生
𠠗|巤 刂
𢮖|扌 囗 禾
𥠶|禾 匚 非
䄝|礻 Z春X 臼
悜|忄 口 王
𨰟|金 罒 厶 ⺼ 匕 匕 灬
鸣|口 鸟
椭|木 阝 𠂇 月
袬|衣 厶 口
𧴜|豸 口 口 口 木
𠊰|亻 冎 口
𪘳|齒 尸 屮 凵
㠷|巾 及
家|宀 豕
焽|日 月 火
邼|匚 王 阝
𨉴|身 艹 耳
𠭁|貝 又
𢫀|土 厶 手
𦻊|艹 木 其
䁇|宀 必 目
揆|扌 癶 一 大
饍|飠 𦍌 䒑 口
𣋐|日 月 耂 日
桗|木 乃 木
诖|讠 土 土
𩒈|頁 人 小
𪅝|鳥 鳥
𧓻|虫 虍 田 心
㭡|木 丿 囗 乂
嫠|未 攵 厂 女
灧|氵 山 丰 丰 一 口 䒑 色
鏦|金 彳 HX從
𣟽|厶 口 木 𤇾 力
𠩫|厂 臼 儿
𡗪|大 丷 龴
𥵓|𥫗 H毀X 𠘧 又
𩙼|亠 囗 口 日 一 飛
䍱|羊 入 一 朩
拰|扌 亻 一 士
顷|匕 页
𤆹|火 牙
𡉻|土 九 十
𥅾|目 广 土
𨢢|酉 艹 日 大
謀|言 甘 木
䠂|木 木 足
沅|氵 二 儿
𠴄|口 糹 乚
𦲀|艹 忄 厶 口
𣦜|止 丿 大 口 冂 口
錐|金 隹
𥮏|𥫗 典
倒|亻 至 刂
璕|王 彐 工 口 寸
𡔔|土 艹 門 束 丷
䦗|門 丿 皿
𠺙|口 辶 艮
𨬅|金 丶 艮 斤
𩝽|飠 弓 厶 虫
𤙾|牜 幷
𧺱|走 戈
砢|石 一 亅 口
鲥|鱼 日 寸
𣴤|氵 戈 幺
冧|冖 木 木
𩼰|魚 䒑 幺 幺 心
𤯜|生 力 力
耲|耒 衣 罒 氺
𦜌|⺼ 臣 又
䔴|艹 屮 凵 示 又
禷|礻 米 頁 犬
𡨶|宀 日 火
㺹|王 厶 廾
𡤴|女 雨 齊
浄|氵 𠂊 ZX爭
臇|⺼ 雋
𢉆|广 廴 聿
䛉|言 民
𡯋|尢 干
𤘶|牜 手
𦊹|冂 人 夂 口
𩋢|革 宀 二 曰
畔|田 半
䩖|革 小 丿
滙|氵 匚 隹
𠽘|口 未 V宀 口
𢏛|弓 糸
𥟤|禾 隶
𩆃|雨 二 欠 貝
鵤|角 鳥
剦|大 电 刂
盩|土 丷 干 攵 皿
𡝨|𦥑 丨 女
䯫|日 Z亯X 小 高
𠣭|勹 立 口
𣞒|木 甫 方 攵
𣲾|氵 又 土
究|穴 九
𩻹|魚 H倝X 月
㽸|疒 冘
叻|口 力
𤨾|𤣩 山 日 匕 匕
𡃽|口 亻 雨 而
𥍛|目 山 口 口 厂 乛 耳 攵
𣪄|欠 𠘧 又
𩻪|⺌ 冂 口 攵 魚
𨣖|酉 雨 人 一 マ
芆|艹 乂 丶
䞈|貝 爲
紏|糹 斗
𦏬|譱 灬
𣈑|日 土 丷 干
𦤙|自 木 屮 凵
𧿸|𧾷 尸 又
澘|氵 𣎳 𣎳 日
𢲚|扌 𠃌 一 口 厶 口
𥛢|礻 山 宀 示
蔟|艹 方 人 矢
娡|女 士 心
𡼣|山 肅
瞨|目 业 䒑 夫
𧹆|宀 示 宀 示 貝
戱|虍 业 戈
𢜳|忄 十 一 口 䒑
𤹵|疒 𤰔 厶 寸
岺|山 人 一 マ
𡆼|囗 丿 廾
詁|言 十 口
𧴡|豸 束 𠂊 貝
佃|亻 田
𠱅|口 又 土
𥲠|𥫗 亠 𠃊 月 丿 土
擊|車 凵 𠘧 又 手
㧌|扌 毛
𧰷|豕 母
鉑|金 白
坓|井 土
賚|木 人 人 貝
𤟃|犭 疌
䇜|𥫗 欠
𠛞|大 丷 刀
罣|罒 土 土
㱥|歹 土 八 夊
𥩽|立 宀 寸
铪|钅 人 一 口
槬|木 大 一 丂 瓜
𢻮|卩 丶 攵
蝳|虫 Z青X 毋
䑵|舟 冂 二 月
𥂨|羽 人 一 口 皿
𣳾|V𥸭 氺
燼|火 V㶳 皿
㛾|女 丿 戈 一 口
𤫑|𤣩 雨 叚
𦎁|羊 士 口
𢢃|禾 必 人 㣺
𣅪|日 匕 匕
䔆|艹 犭 里
憉|忄 十 一 口 䒑 彡
鸌|鳥 卝 隹 又
𣂓|斤 土
𤽾|白 虍 儿
𨨯|金 Z春X 一 大
洖|氵 口 V夨
覙|𠂉 小 目 儿
𦾌|艹 虫 夂 丰
𧿛|𧾷 人 人
㰠|亠 几 欠
墣|土 业 䒑 夫
甦|更 生
醩|酉 Z曹X 曰
𤬆|日 曰 瓜
𢾭|甫 寸 攵
䐰|⺼ 亻 丨 攵 ⺼
悳|十 Z具X 心
𦞲|⺼ 屮 一 虫
鴶|士 口 鳥
𡬺|罒 一 止 寸
㞽|山 戉
汀|氵 一 亅
裃|衤 卜 一 一 卜
𥵈|𥫗 土 𠂉 口 皿
𩸷|魚 石 廾
𠛇|丶 刀 大
𤝠|犭 弔
𧊨|虫 V冄
𦳠|艹 癶 𠘧 又
忍|丶 刀 心
𦏣|羊 𥫗 丿 戈 一 口
𩀌|禹 隹
瑐|王 䒑 月 刂
郓|冖 车 阝
𨑢|辵 人 人
𢻗|干 臼 支
䭚|飠 立 里
柝|木 斥
鱠|魚 人 一 囗 小 曰
𧮺|谷 戈 戈
𡩤|宀 亻 卄 一 日
㛧|女 山 石
卪|卩 丶
迭|辶 丿 夫
𪑰|黑 尸 并
𢉴|广 日 V正
廷|廴 丿 土
𤭨|HX隋 瓦
筺|𥫗 匚 玉
韽|人 一 乛 酉 音
𩰔|鬥 金
𨡪|酉 方 𠂉 也
𢬅|扌 小 大
䪄|革 黃
𨳀|镸 衣 馬
𥓭|石 丿 㠯 十
簋|𥫗 艮 皿
莊|艹 爿 士
𡦎|子 气 米
𨞙|虍 豕 阝
𤿂|白 爾 玉
𣌕|日 艹 熏
劔|人 一 口 口 人 人 刄
萛|艹 目 廾
𠈟|亻 H印X 卩
𢆞|干 干 束
嬥|女 羽 隹
窤|穴 日 匕 匕
𤻆|疒 二 儿 頁
𢨯|戶 戶
䦮|門 春
挵|扌 王 廾
芴|艹 勿
𨃈|𧾷 共 巳
𡢸|女 門 厶 廾
𧱋|丿 田 豕
𪖰|鼻 亠 丷 冖
冾|冫 人 一 口
𧋸|虫 口 王
𩎡|弗 韋
譅|言 丶 刀 止 丶 刀 止
𠅉|亠 凵 䒑
𣽍|氵 自 亻 亻 人
婏|女 免 丶
秎|禾 八 刀
鍕|金 冖 車
𢥙|V頁 心 夊 夂 㐄
䣘|⺌ 冂 口 土 阝
扟|扌 卂
臞|⺼ 目 目 隹
𩵷|魚 一 幺
𡿢|山 丿 㠯 止 彐 冖 巾 免
𩓐|孛 頁
僨|亻 十 廾 貝
𧬦|言 爫 ZX爭 爫 ZX爭
𧁓|艹 亻 曲 辰
詯|言 自
𩾩|鳥 己
𠁳|山 丰 丰
𢟲|辰 寸 心
𨧿|火 火 金
她|女 也
磸|石 丷 酉 大
𦊫|罒 光
鉿|金 人 一 口
𡞀|女 ⺌ 冂 口
脈|⺼ 𠂢
䈊|𥫗 土 八 夊
纍|田 田 田 糸
𡼌|山 𡨄 㔾
㮏|木 木 示
𨥙|金 井
𥒂|石 歹 刂
𥚦|礻 𠂊 厂 矢
𩩳|骨 重
樚|木 鹿
蚝|虫 毛
𤑛|火 重 力 灬
䎟|女 而
𧦽|言 尔
𣴇|氵 厂 犬
𧈪|屮 虫
伬|亻 尸 ㇏
殯|歹 宀 一 𣥂 貝
𠠮|尸 羊 羊 羊 刂
𢒱|止 𣥂 丿 戈 一 彡
𧵤|貝 宀 寸
𣪠|車 凵 𠘧 又
騺|土 丷 干 丸 馬
圼|日 土
玿|王 刀 口
𡀾|口 日 幺 幺 灬
䳁|鳥 犮
𩵡|魚 厂 㔾
𠧃|甫 卑
𥢊|禾 十 廾 貝
罌|貝 貝 缶
鯏|魚 禾 刂
𣡎|木 凵 𠂭 匕 Z春X 禾
哑|口 一 业
𡇓|囗 至
𥘸|礻 立
蝜|虫 𠂊 貝
𪏟|黃 艹 日 大
𧫤|言 畢
糡|米 音 儿
𦸑|Z夢X 戈
㧣|扌 丿 未
𣦽|歹 几
𩇇|雨 老 老 老
桮|木 不 口
蓱|艹 氵 并
𢕰|彳 丷 酉 寸
𤇳|火 丿 戈 一
𤲒|田 幷
𠋵|亻 虍 文
灾|宀 火
䶀|鼓 人 一 口
朇|人 一 囗 小 曰 卑
𦽭|艹 夕 夕 臼
𨛃|彐 彐 阝
颎|匕 页 火
喐|口 𠂇 月 阝
𦫙|白 色
輗|車 臼 儿
䠙|𧾷 亠 丷 冖
𤗅|片 厶 ⺼ 乚
𠧮|尸 毛 卜
𥼛|毛 毛 毛 米
𪂞|非 鳥
綠|糹 彑 氺
㺢|犭 雨 隹
霧|雨 矛 攵 力
倩|亻 青
𩰝|鬥 宀 一 𣥂 貝
𩳐|鬼 甫
薰|艹 熏
䚲|言 彡
𠎴|亻 尸 毛 𠂇 巾
砹|石 艹 乂
𦍵|羊 勹 口
㔻|不 十
𩋋|革 戈 戈
滂|氵 亠 丷 冖
𤳒|田 厶 厶 厶 人 㣺
聉|耳 屮 凵
𥇍|目 卜 日 十
嵋|山 𠃜 目
𡹍|屮 囗 十 口
盒|人 一 口 皿
𣏔|止 木
𪙰|齒 艹 曰 勹 𠃊 人
𥥇|穴 木 丶
𨀥|𧾷 二 欠
敛|人 一 Z兴X 攵
𢙝|忄 𠂒 儿
黢|黑 厶 儿 夊
寤|P寐X 五 口
𡓦|土 𠂊 口 匕 匕 免 丶
𧝽|衤 曰 勹 𠃊 人 欠
赫|赤 赤
乭|石 乙
𩻓|魚 艹 入 一 朩
𠭯|虍 且 又
𥛼|礻 艹 日 曰
援|扌 爰
㳶|氵 爫 子 乚
𥷕|𥫗 其 世 木
镻|镸 丿 夫
噽|十 一 口 䒑 口 不 一
𧜫|衣 鹿
澁|氵 止 止 止
𨸾|阝 北
𦢪|⺼ 阝 辶 HX隋
蠄|虫 人 亠 凵 乂 禸
𦌇|罒 彳 HX從
𠈈|亻 丿 囗 乂
㺋|犭 八 厶 羽
嬎|女 免 生
瞑|目 冖 日 亠 八
途|辶 入 一 朩
𢨘|虍 隹 戈
䚛|角 𠂒 口
𩊮|革 氵 小 丿
挞|扌 辶 大
龡|龠 欠
𣸱|氵 艹 夕 㔾
𡦥|尸 毛 子 子 子
𨞇|火 火 火 阝
𣈨|日 𥫗 干
溫|氵 囗 人 皿
𦐆|羽 巴
𤫟|𤣩 丽 鹿
𧬳|言 罒 大 丷 干
謮|言 Z青X 貝
𤂉|氵 木 㒼
𢆵|幺 刁
𢄈|巾 音
𩟁|飠 罒 一 口 𧘇
娸|女 其
皻|虍 且 皮
錾|车 斤 金
䧅|阝 夷
𩉠|革 乂 丶
扈|戶 邑
黋|光 黃
𨚶|年 阝
㕒|厂 𦍌 我
凕|冫 冖 日 亠 八
𩮏|镸 彡 丿 戈 一 口
詘|言 屮 凵
𧠎|巿 目 儿
𦼻|艹 氵 HX微
𢃟|巾 卄 一 日
嵢|山 倉
秥|禾 卜 口
㣧|彳 幺 月 乚
𣔐|木 㡀
鉨|金 𠂉 小
𨉥|身 面
䣯|酉 且
敲|高 攴
臵|至 夂 口
𩹨|魚 H段X 𠘧 又
𨥗|水 金
𨔑|辶 止 ⺼
㑼|亻 田 夂 口
僿|亻 𡨄 土
樃|木 丶 艮 月
趂|走 𠂉 小
𤖺|片 歹 刂
𠞆|Q烏X 灬 刂
𪌉|麥 斗
𤰖|田 又
𣴍|氵 糸
岌|山 及
爓|火 門 𠂊 臼
閒|門 月
𨍌|車 民 日
𥁅|女 皿
䔝|艹 止 匕 糸
撜|扌 癶 一 口 䒑
𧇄|虍 巛 田
𥜒|礻 厂 日 ⺼ 犬
𧎰|展 虫
騣|馬 凵 乂 儿 夊
㳓|氵 𠂇 口
𩵇|鬼 罒 糹 隹
㞦|山 几
洭|氵 匚 王
責|Z青X 貝
𨜜|小 丿 目 阝
𠚰|女 刂
𪈳|鳥 丽 鹿
𣚶|木 𤣩 王 人 一 乛
㰷|歹 匕 欠
徶|彳 㡀 攵
𤀞|氵 艹 耂 日
甽|田 川
钼|钅 目
𧏮|虫 𦍌 心
𠽁|口 虍 夊 几
𢻀|H叚X 支
𣣊|止 匕 口 欠
𥃷|目 寸
䑇|⺼ 斤 斤 貝
柆|木 立
𤑍|火 V舁 冂 二
鵍|宀 二 儿 鳥
𦗌|耳 爫 日
㛐|女 更
𨅏|𧾷 山 風
汗|氵 干
迖|辶 犬
𣪥|士 冂 一 𠘧 又 口
𠧚|卜 囗 人
𪕝|鼠 足
𩬤|镸 彡 龙
㽡|田 卑
廠|广 ⺌ 冂 口 攵
瑧|王 Z春X 禾
𩟦|飠 小 隹 戈
𩧽|马 囗 十 口
𡇪|囗 𠂒 口
𣡼|𠧪 𠧪 𠧪 木
䝱|力 力 力 貝
𦛰|⺼ 辶 𠂉 乙
𥳿|𥫗 辶 免 丶
鱷|魚 噩
𤡕|犭 鳥
𡙻|大 世 木 木
㧺|扌 水 日
𩫰|Z亯X 囗 口 口 十 婁
𦧔|舌 瓜
輀|車 而
𧻔|走 匚 王
䰂|镸 彡 爫 木
梅|木 𠂉 母
𢖇|彳 P鹿X ZX焉
霐|雨 氵 弓 厶
吒|口 乇
炕|火 亠 几
𡄔|口 士 𠃜 𠘧 又 耳
䶗|齒 一 亅 口
𩏘|韋 山 隹
𠪙|厂 田 共
𣽛|氵 𥫗 人 一 口
䒄|舟 冖 一 口 田
𨒱|辶 共
簢|𥫗 門 文
颥|雨 而 页
𣤤|广 兼 欠
喧|口 宀 二 曰
𦔰|𠂊 耳
𡊩|土 玉
𧱝|又 又 又 又 豕
㪂|气 攴
萲|艹 爰
𪂵|戈 口 一 鳥
䄴|禾 月
綷|糹 亠 人 人 十
𡸶|山 宀 示
㪹|婁 斗
𥫞|𥫗 子
𨶊|亻 隹 門
楄|木 戶 𠕁
藇|艹 V𢍱 与
𢙆|忄 自
䋉|糹 穴
𡿋|山 艹 禺 虫
𥂌|木 夂 口 皿
𩢹|馬 臼
煔|火 火 卜 口
𤹖|疒 車 干
櫙|木 艹 匸 口 口 口
𠭘|歺 又 井
𥖻|石 婁 攵
𣨺|歹 骨
饤|饣 一 亅
噦|口 止 𣥂 丿 戈 一
狩|犭 宀 寸
𡍨|土 P庶X 又
俫|亻 未 丷
𠳭|口 十 口 儿
𧸓|貝 氵 耂 日
𩦒|馬 厂 䒑 屮 欠
𪅴|亞 心 鳥
繶|糹 音 心
髹|镸 彡 亻 木
㭸|木 免 丶
埻|土 Z亯X 子
𧾥|走 士 罒 貝
𢸁|V𢍱 冂 一 口 手
𤯇|甘 火 火
蚆|虫 巴
䎈|羽 曳
礏|石 业 䒑 未
𣗬|木 自 犬
㘑|口 士 示 隶
𥅯|目 戈 十
殘|歹 戈 戈
𢢚|忄 曰 勹 𠃊 人 欠
𨨛|金 禾 口
脟|⺼ 爫 寸
帡|巾 并
𩹱|魚 玄 田
𡬣|口 儿 寸
玨|𤣩 王
𣂪|亞 斤
昱|日 立
𢌳|V⺼ 廾
䅈|龹 禾
鮸|魚 免
墺|土 V宷 大
𡖼|䒑 业 夕 夕
𣧴|歹 㬰
蹁|𧾷 戶 𠕁
䭃|飠 人 一 乛 心
𤕷|爿 兆
𧻍|走 口 八
惊|忄 Z亯X 小
㷌|火 彐 冖 巾
陑|阝 而
卓|卜 日 十
𡁕|口 羽 立 女
𣯏|毛 艹 耳
𪏸|黍 尸 匕
裚|扌 斤 衣
䗜|虫 V卯 田
𠋞|亻 虫 也
筣|𥫗 禾 刂
㡥|巾 爫 工 彐 心
𥕐|石 亠 丷 冂 十 口
郪|Z妻X 女 阝
淬|氵 亠 人 人 十
𢫮|扌 亙
荳|艹 一 口 䒑
䁵|目 罒 一 口 𧘇
𤥿|王 夜
𡵷|山 几 几
𧋕|虫 囗 木
𦫾|艹 㔾
痼|疒 囗 十 口
𣋾|日 言 果
𣦁|卜 一 人 卜 一 人
㒃|亻 弋 二 貝
夆|夂 丰
綉|糹 禾 乃
𧺷|走 土 厶
𧲃|豕 門 文
𪚏|齿 并
𨂬|十 冖 田
𠠐|士 乛 工 一 口 寸 丶 刀
𢲓|𡘩 手
𩬂|镸 辵
焖|火 门 心
閙|門 亠 巾
𤞮|穴 乂 犬
𨗛|辶 H倝X 月
𢀠|手 𠂇 工
䒣|艹 冄
𦩚|舟 木 攵
椦|木 V𢍏 力
趩|走 田 共
𡄆|口 Z學X 子
堰|土 匸 日 女
粳|米 更
𦝝|⺼ Z奐X 大
𠏟|亻 亠 囗 口 禾
脶|⺼ 口 内
𪖹|鼻 婁
𥪇|立 口 勹 二
𠜺|戶 犬 刂
𨲴|長 艹 禺
灀|氵 雨 木 目
铃|钅 人 一 マ
𩜊|飠 巛 田
㽊|火 火 言 又 瓦
䏍|厶 ⺼
桐|木 冂 一 口
賓|宀 一 𣥂 貝
𧹢|赤 囗 大
𣋗|日 頁 日
坚|丨 丨 又 土
篝|𥫗 𠀎 冉
聠|耳 并
𠙤|几 扌 立 女
𢫧|扌 州
𤀐|氵 艹 亠 丷 冖
𣒭|V扌 戈 木
佪|亻 囗 口
鏭|金 釆 心
𦒓|羽 丿 大 口 冂 口
𩢼|馬 匚 王
𡧱|宀 工 口
𨌒|車 𠂒 口
㹴|犭 更
䋷|矛 攵 糸
杺|木 心
诽|讠 非
𧙴|亠 日 衣
𧉪|力 口 虫
㜅|女 玄 田
嚄|口 卝 隹 又
怋|忄 民
龊|齿 足
𠖎|冖 又 又 又 又
𤺔|疒 世 貝
𧰘|十 一 口 䒑 襾 日 十
𨕅|辶 西 土
頛|耒 頁
𩽑|木 米 二 欠 魚
𡸟|山 巛 田
㶞|氵 日 亠 口 口 𠀎 𧘇
暤|日 白 大 十
𨕰|辶 山 一 口 䒑
𥎝|矛 𠂒 儿 𠂒 儿 贝
𦯆|艹 戼
𣘯|Z囊X 𠂇 厶 木
𥖮|石 羽 亠 人 人 十
𤙲|制 牛
缵|纟 𠂒 儿 𠂒 儿 贝
麴|麥 勹 米
𠒸|自 心 光
𣔞|木 子 瓜
𢸿|扌 𥫗 匚 非
𤶾|疒 文 口
靅|雨 二 厶 弗 貝
𧿷|𧾷 玉
𡵉|山 一 儿
㳈|氵 𣎳
䙏|衤 甫 寸
旎|方 人 尸 匕
㣹|彳 广 亻 隹 心
轕|車 艹 曰 勹 𠃊 人
𥑏|石 史
𦍬|十 口 羊
㕙|厶 儿 夊 免 丶
哘|口 彳 一 一 亅
𧟎|衤 士 囗 儿 冂 貝
繟|糹 單
鷞|大 爻 爻 鳥
𤝃|犭 一 幺
𠏢|亻 𤔔 乚
𧘈|衤 了
𨊧|車 工
𣫐|士 乛 工 一 口 寸 𠘧 又
䳨|白 王 鳥
陯|阝 人 一 𠕁
𡱳|尸 氵 小 丿
㯲|木 木 木 示
𧏿|虫 辶 豕
𦐨|丿 未 羽
䕹|艹 亠 人 人 朩 隹
擸|扌 巤
㢫|弓 山
蹿|𧾷 穴 串
鴈|厂 亻 鳥
𪆋|糹 士 口 鳥
帊|巾 巴
抍|扌 丿 廾
𢞏|忄 宀 口 丿 口
𩨬|骨 玄
𤛘|牜 艹 犬 廾
瘚|疒 䒑 屮 欠
骝|马 V卯 田
㬜|至 至 日
徟|彳 V用 口
𠂡|几 V扌
𨣶|酉 Z亯X 日 羊
渪|氵 禹
匬|匚 人 一 月 刂
瞯|目 門 月
𡐮|土 爲
𣢱|口 巛 欠
𨀉|𧾷 宀 一 亅
𥌲|目 Z亯X 日 羊
𦱟|艹 囗 人 夂
𧞵|衤 厂 艹 禺
蘺|艹 亠 凵 乂 禸 隹
𩮎|镸 彡 木 日 一
䬼|飠 口 ⺼
澿|氵 木 木 示
𠰾|口 尸 几
僁|亻 釆 心
𥋠|目 襾 示 刂
捌|扌 𠮠 刂
蟏|虫 艹 肃
𧾌|走 巳 巳 共
䣑|厂 里 阝
𧜪|C襃X 𠂊
𠷓|由 丂 口 八
𣢎|氏 欠
魜|魚 人
属|尸 禹
惡|亞 心
𢗣|龶 心
𥝵|禾 人 丿 丨
𩯦|镸 彡 士 乛 工 一 口 寸
𥄓|不 目
瑮|王 襾 木
飱|歹 食
㥰|忄 𦥑 丨 又
𥷳|𥫗 齒 𠂉 乙
𥻨|米 十 冖 糸
𣶄|氵 巛 冂 一 刂
汾|氵 八 刀
冀|北 田 共
𡊂|卬 土
笇|𥫗 丶 一 卜
㰉|木 至 Z春X 禾
𧚇|衤 免
蒎|艹 氵 𠂢
䦐|門 手
𣲋|氵 夊
𧭂|言 宀 Z祭X 示
𨑯|辶 火
錗|金 禾 女
𥞱|工 阝 禾
吙|口 火
𡤛|女 車 𤰔 厶 寸
憠|厂 䒑 屮 欠 心
𨪚|金 車 干
𥋇|目 ⺌ 冂 口 手
謧|言 亠 凵 乂 禸
𦫰|Z夢X 夕 色
䰩|耂 日 鬼
𤞜|犭 不 口
馰|馬 勹 丶
媲|女 丿 囗 乂 匕 匕
𢌟|廴 羽
𪌷|麥 止 𣥂
㑈|亻 东
搹|扌 鬲
𢤻|忄 羲
狂|犭 王
㟄|山 羊
𧼷|走 白 水
鱉|㡀 攵 魚
䅋|禾 免
𠉍|亻 囗 木
𥝹|禾 斤
櫒|木 艹 Z祭X 示
𤻏|疒 臼 工 𠘧 又
𧛸|衤 勹 屮 勹 屮
祛|礻 土 厶
㩝|扌 N高X 豕
𥮤|𥫗 隶
𨇑|𧾷 罒 厶 ⺼ 匕 匕
苢|艹 㠯
䟤|𧾷 必
𠣦|勹 廿 火
酫|酉 入 王
剭|尸 至 刂
𡝯|女 隶
𩢴|馬 士 口
𦍒|土 羊
𦘐|耳 丽 鹿
翴|羽 辶 車
𢃶|巾 Z青X 毋
襻|衤 木 木 爻 大 手
䩽|革 匸 口 口 口
𨴫|門 爫 子
𠽿|口 十 口 辛
玁|犭 口 口 厂 乛 耳 攵
𩊪|革 一 口 䒑
鐄|金 黃
𨌀|車 耳
𡸈|山 日 䒑
𩥖|V卯 田 馬
䜎|言 𤇾 力
殑|歹 十 口 儿
𤀂|氵 卝 勹 口 攵
谔|讠 口 口 一 丂
𣘘|木 艹 辛
媛|女 爰
缞|纟 衣 口 一
莡|艹 足
𧤽|角 門 月
𠖥|冖 龍
𪐤|黑 尢 丶
𢸨|扌 Z囊X 石 木
犫|隹 隹 言 牛
𨄳|𧾷 艹 甫
霮|雨 氵 甘 匸 八
𡤲|女 鹵 𣆪
㶵|亻 一 士 灬
𧛟|衤 日 生
𣐻|艮 木
䘸|衤 夜
檻|木 臣 人 丶 皿
𩕞|厶 厶 厶 人 㣺 頁
輾|車 展
𣅂|日 亠
嗅|口 自 犬
𩏲|韋 丰 丰 彐 心
